tx_hash,tx_timestamp,block_time,type,from_address,to_address,amount_sent,amount_received,total_gas_eth,nft_transfere,rex_per_usdc,usdc_per_rex,onchaindata_source
0x189e429825bf7e505e6ef78b80900f214edc21da57469d93dec919f34488bd87,2025-08-18 23:48:43 CEST,1755553723,add_liquidity,0x4e118F5A1ED501bD0b4EAc76c8BD49Ed1895BfC8,0xA04A9F0a961f8fcc4a94bCF53e676B236cBb2F58,-0.03954421 WBTC; -1.461569716485 ETH,,0.00001874,+Etherex V3 Non Fungible Position#64493,2.310723905687678697,0.432764813458922024,dexscreener.com
0x011ce6327220dbec797bd073001a08098ecc6990bedc4de654331cd78ede76ae,2025-08-18 23:47:44 CEST,1755553664,swap,0x4e118F5A1ED501bD0b4EAc76c8BD49Ed1895BfC8,0x6131B5fae19EA4f9D964eAc0408E4408b66337b5,-2.50513 ETH,+0.09322229 WBTC,0.00001231,,2.310723905687678697,0.432764813458922024,dexscreener.com
0x8d7543f23a48a34721f9097427aaac3472796166c891929c542b89b5e28297ac,2025-08-18 23:46:00 CEST,1755553560,remove_liquidity,0x4e118F5A1ED501bD0b4EAc76c8BD49Ed1895BfC8,0xA04A9F0a961f8fcc4a94bCF53e676B236cBb2F58,,+149.668126311384 REX; +2.841468711953 ETH,0.00001962,-Etherex V3 Non Fungible Position#64322,2.310723905687678697,0.432764813458922024,dexscreener.com
0x2e8686fadc3f1b81d1f07d9c1af47e9a20eb1b239e6e20db091655f5e1deafb7,2025-08-18 23:01:29 CEST,1755550889,add_liquidity,0x4e118F5A1ED501bD0b4EAc76c8BD49Ed1895BfC8,0xA04A9F0a961f8fcc4a94bCF53e676B236cBb2F58,-0.06457993 WBTC; -1.110506897899 ETH,,0.00001856,+Etherex V3 Non Fungible Position#64322,2.310723905687678697,0.432764813458922024,dexscreener.com
0x9c03e0436b6872e75e92dabda0981e19432ec656fb350069ceae4afd05e8a646,2025-08-18 23:01:01 CEST,1755550861,remove_liquidity,0x4e118F5A1ED501bD0b4EAc76c8BD49Ed1895BfC8,0xA04A9F0a961f8fcc4a94bCF53e676B236cBb2F58,,+38.316507650853 REX; +2.235826858454 ETH,0.00001962,-Etherex V3 Non Fungible Position#64296,2.310723905687678697,0.432764813458922024,dexscreener.com
0xbf54afe5f1c037ae1add61cfee77d15c0c60424ca402c86559d6ff8450ba8612,2025-08-18 22:49:23 CEST,1755550163,add_liquidity,0x4e118F5A1ED501bD0b4EAc76c8BD49Ed1895BfC8,0xA04A9F0a961f8fcc4a94bCF53e676B236cBb2F58,-0.01778868 WBTC; -1.759411920507 ETH,,0.00001875,+Etherex V3 Non Fungible Position#64296,2.310723905687678697,0.432764813458922024,dexscreener.com
0x85f21c9fe93883d93930e19f78f86025069e9f09ff6ec096db513a295a5c6259,2025-08-18 22:48:59 CEST,1755550139,remove_liquidity,0x4e118F5A1ED501bD0b4EAc76c8BD49Ed1895BfC8,0xA04A9F0a961f8fcc4a94bCF53e676B236cBb2F58,,+8.242961532114 REX; +1.759469759641 ETH,0.00001954,-Etherex V3 Non Fungible Position#64244,2.310723905687678697,0.432764813458922024,dexscreener.com
0xa7a5f1f25c556ebce338522cae5502e6f1daab1419acca8f43a1bd6deabdef37,2025-08-18 22:39:31 CEST,1755549571,add_liquidity,0x4e118F5A1ED501bD0b4EAc76c8BD49Ed1895BfC8,0xA04A9F0a961f8fcc4a94bCF53e676B236cBb2F58,-0.01420869 WBTC; -1.379314889012 ETH,,0.00001902,+Etherex V3 Non Fungible Position#64244,2.310723905687678697,0.432764813458922024,dexscreener.com
0xffc5c5052b2eda4a048a631c72e4b9fc2457d8ea0724f6cb3d9798cdc44f5c27,2025-08-18 22:39:13 CEST,1755549553,failed,0x4e118F5A1ED501bD0b4EAc76c8BD49Ed1895BfC8,0xA04A9F0a961f8fcc4a94bCF53e676B236cBb2F58,,,0.00001987,,2.310723905687678697,0.432764813458922024,dexscreener.com
0xac626ea98937ad50cf0902861a014270ecbc4aa1b1fadf6fa2357d1f2d22999e,2025-08-18 22:38:35 CEST,1755549515,swap,0x4e118F5A1ED501bD0b4EAc76c8BD49Ed1895BfC8,0x6131B5fae19EA4f9D964eAc0408E4408b66337b5,-2.587744062557 ETH,+0.0965773 WBTC,0.00001154,,2.310723905687678697,0.432764813458922024,dexscreener.com
0x992a749b19c9311be37925516c3cbe03c124952a1aa2bafdcb18778c03a06384,2025-08-18 22:38:07 CEST,1755549487,remove_liquidity,0x4e118F5A1ED501bD0b4EAc76c8BD49Ed1895BfC8,0xA04A9F0a961f8fcc4a94bCF53e676B236cBb2F58,,+140.304038844297 REX; +3.508991920525 ETH,0.00001962,-Etherex V3 Non Fungible Position#64036,2.310723905687678697,0.432764813458922024,dexscreener.com
0xbe6560d7469257b16b52c61757cb99c71139bca162723b1764dbb894eaccc6d5,2025-08-18 21:40:15 CEST,1755546015,add_liquidity,0x4e118F5A1ED501bD0b4EAc76c8BD49Ed1895BfC8,0xA04A9F0a961f8fcc4a94bCF53e676B236cBb2F58,-0.10180972 WBTC; -0.793977986354 ETH,,0.00001856,+Etherex V3 Non Fungible Position#64036,2.310723905687678697,0.432764813458922024,dexscreener.com
0x5666f41fb0cba06cef5fe605fb169729e555d2e83e7946786cef2c19490491a1,2025-08-18 21:39:49 CEST,1755545989,swap,0x4e118F5A1ED501bD0b4EAc76c8BD49Ed1895BfC8,0x6131B5fae19EA4f9D964eAc0408E4408b66337b5,-0.009638245152 ETH,+0.00036148 WBTC,0.0000111,,2.310723905687678697,0.432764813458922024,dexscreener.com
0x0da6247146510abc792d7ae4673f2f316b8dc800b2f3a04554a6b713bb1cabd3,2025-08-18 21:26:04 CEST,1755545164,remove_liquidity,0x4e118F5A1ED501bD0b4EAc76c8BD49Ed1895BfC8,0xA04A9F0a961f8fcc4a94bCF53e676B236cBb2F58,,+49.417942397893 REX; +0.10144824 WBTC,0.00002,-Etherex V3 Non Fungible Position#63892,2.310723905687678697,0.432764813458922024,dexscreener.com
